"","GEOID","state","county_name","geometry","distance_nearest_farmersmarket(mile)","nearest_farmersmarket_name","nearest_farmersmarket_id","market_county_geoid","market_county_name","farmersmarket_desert"
"1","01003","Alabama","Baldwin",c(789795.134721739, 884543.024893456),7.18648391544245,"Fitzpen Place Farmers Market","308314","01003","Baldwin",FALSE
"2","01069","Alabama","Houston",c(1014495.77012518, 954669.282281134),5.17874084146108,"Houston Co. Farmers Market","308330","01069","Houston",FALSE
"3","01005","Alabama","Barbour",c(997016.327140999, 1032942.99526748),17.3135726323274,"Clio Market","308299","01005","Barbour",FALSE
"4","01119","Alabama","Sumter",c(727423.520668141, 1087515.6302467),24.9342142863604,"Greene/Sumter County Farmers Market","308322","01063","Greene",TRUE
"5","05091","Arkansas","Miller",c(194967.813878662, 1140304.68803533),11.4066533300879,"Gateway Farmers Market","301641","05091","Miller",FALSE
"6","05133","Arkansas","Sevier",c(161278.00585765, 1216150.17625223),4.37343176954961,"Lockesburg Farmers Market","314331","05133","Sevier",FALSE
"7","05093","Arkansas","Mississippi",c(532674.712834732, 1428786.82916213),29.0170586720453,"Ripley Downtown Farmers' Market","312820","47097","Lauderdale",TRUE
"8","06037","California","Los Angeles",c(-2011044.514001, 1487083.52441432),7.93281092741337,"La Cañada Flintridge Farmers' Market","308724","06037","Los Angeles",FALSE
"9","06087","California","Santa Cruz",c(-2262113.31704581, 1868468.01756344),1.50730684807633,"Scotts Valley Farmers' Market","308926","06087","Santa Cruz",FALSE
"10","06097","California","Sonoma",c(-2291079.48945646, 2048382.40408049),6.23730822734946,"Russian River Farmers Market","301620","06097","Sonoma",FALSE
"11","06013","California","Contra Costa",c(-2229771.69593286, 1959844.81348238),5.39722106209743,"Diablo Valley Farmers' Market","308853","06013","Contra Costa",FALSE
"12","06003","California","Alpine",c(-2033721.62599824, 1985970.49357692),24.0571539648361,"Sierra Chef Farmers Market @ Lampe Park","311791","32005","Douglas",TRUE
"13","08067","Colorado","La Plata",c(-1037451.0850558, 1647572.54855126),2.32701599066502,"Durango Farmers Market","300627","08067","La Plata",FALSE
"14","08113","Colorado","San Miguel",c(-1075935.06230981, 1733627.80779698),10.6582294382705,"Norwood Farm and Craft Market","309104","08113","San Miguel",FALSE
"15","10001","Delaware","Kent",c(1737525.89056585, 1972023.9703668),5.49080764434474,"Capital City Farmers Market","300377","10001","Kent",FALSE
"16","12123","Florida","Taylor",c(1190768.00408415, 852357.037399411),4.7645426138729,"Perry Downtown Farmers' Market","309410","12123","Taylor",FALSE
"17","12017","Florida","Citrus",c(1316854.90815511, 735642.573320998),3.79054882864962,"Citrus Hills Farmers Market","309294","12017","Citrus",FALSE
"18","12071","Florida","Lee",c(1416546.14859194, 497033.047911294),3.80927662912071,"Alliance for the Arts Green Market","309278","12071","Lee",FALSE
"19","12101","Florida","Pasco",c(1333807.86360446, 677786.78280751),8.67280141850663,"Fresh Market at Wiregrass","309342","12101","Pasco",FALSE
"20","12033","Florida","Escambia",c(824602.955351297, 881123.764586798),15.9685453774106,"Pensacola Growers' Retail Farmers' Market","309409","12033","Escambia",FALSE
"21","12037","Florida","Franklin",c(1077266.12849594, 819163.087323785),29.5092337717788,"SaltAir Farmers Market","309422","12045","Gulf",TRUE
"22","12065","Florida","Jefferson",c(1157343.71418353, 891738.264868436),7.69112361503522,"Monticello Saturday Main Street Market","309393","12065","Jefferson",FALSE
"23","13185","Georgia","Lowndes",c(1211133.48830942, 943237.288130208),1.40208710074267,"Valdosta Farmers Market","309651","13185","Lowndes",FALSE
"24","13127","Georgia","Glynn",c(1367526.83249086, 1010390.43965147),11.6865386819632,"Darien Farmers Market","309511","13191","McIntosh",FALSE
"25","13051","Georgia","Chatham",c(1392375.75579334, 1101391.06721603),3.88269684331899,"The Savannah Starland Farmers' Market","309644","13051","Chatham",FALSE
"26","13179","Georgia","Liberty",c(1361748.18970048, 1076773.31041896),4.73690163588248,"Fresh off the Farm Farmer's Market","309548","13179","Liberty",FALSE
"27","13073","Georgia","Columbia",c(1262457.56141265, 1255436.47926454),13.6928507866429,"Growing Augusta Pop-Up Market","301357","13245","Richmond",FALSE
"28","13137","Georgia","Habersham",c(1130813.08751923, 1359809.22541009),1.05608114685374,"Clarkesville Farmers' Market","309499","13137","Habersham",FALSE
"29","16041","Idaho","Franklin",c(-1291552.36574879, 2238857.57220716),18.7437868702734,"Richmond Harvest Market","313016","49005","Cache",FALSE
"30","16033","Idaho","Clark",c(-1294918.60566508, 2477661.61194184),46.9268488969477,"Henry's Fork Farmers' Market in Ashton","309688","16043","Fremont",TRUE
"31","16079","Idaho","Shoshone",c(-1500661.89703904, 2864198.91247382),50.2681985057071,"Kootenai County Farmers Markets- Saturday","314114","16055","Kootenai",TRUE
"32","17031","Illinois","Cook",c(673961.689685232, 2122005.14128501),0.845322058700382,"Riverside Farmers' Market","300001","17031","Cook",FALSE
"33","16073","Idaho","Owyhee",c(-1633008.64656365, 2349736.68996142),45.7602793650236,"Mountain Home Farmers' Market","309696","16039","Elmore",TRUE
"34","16035","Idaho","Clearwater",c(-1498693.82048619, 2787156.40112778),53.5219124382399,"Latah Farmers Market","301630","16057","Latah",TRUE
"35","18123","Indiana","Perry",c(812123.683053063, 1711775.31762718),14.0582148128332,"Hancock Co Farmers Market","310454","21091","Hancock",FALSE
"36","18075","Indiana","Jay",c(922634.175889801, 1989465.81984466),1.50471165723508,"Arts Place Farmers' Market","310013","18075","Jay",FALSE
"37","19045","Iowa","Clinton",c(450241.496198711, 2112469.66060079),5.06198674143488,"DeWitt Farmers Market - Summer","313946","19045","Clinton",FALSE
"38","04009","Arizona","Graham",c(-1286212.78646186, 1189853.05017044),12.2694529241992,"Gila Valley Farmers Market","308466","04009","Graham",FALSE
"39","19195","Iowa","Worth",c(220872.670648885, 2268031.55224352),13.9276425301925,"Lake Mills Farmers' Market","310223","19189","Winnebago",FALSE
"40","20199","Kansas","Wallace",c(-494793.147413509, 1780566.65703869),30.0173643659699,"Goodland Farmers' Market","310335","20181","Sherman",TRUE
"41","01117","Alabama","Shelby",c(863028.189894934, 1175228.82299874),9.33073355128957,"Valleydale Farmers Market","308381","01117","Shelby",FALSE
"42","01055","Alabama","Etowah",c(911548.154784743, 1267873.09221613),2.62520268005467,"Gadsden Farmers' Market","308319","01055","Etowah",FALSE
"43","01051","Alabama","Elmore",c(917858.040047489, 1105908.9092275),6.51057586727245,"Trinity Episcopal Farmers' Market","308377","01051","Elmore",FALSE
"44","01099","Alabama","Monroe",c(815194.724354002, 981031.646438394),31.114793095212,"Jackson Farmers' Market","308331","01025","Clarke",TRUE
"45","21095","Kentucky","Harlan",c(1125604.88494065, 1610541.49179156),19.9633462157913,"Red Bird Farmers Market","301246","21051","Clay",FALSE
"46","22075","Louisiana","Plaquemines",c(619700.898839402, 728174.753219797),29.6719703944895,"George Brooks Farmers Market","310540","22075","Plaquemines",TRUE
"47","22117","Louisiana","Washington",c(568081.79059424, 881980.256407815),24.3125962446465,"Abita Springs Farmers Market","310523","22103","St. Tammany",TRUE
"48","22017","Louisiana","Caddo",c(197710.637148078, 1058651.41839096),5.85247565591462,"The Market @ NHUMC","313809","22017","Caddo",FALSE
"49","01035","Alabama","Conecuh",c(851722.298276236, 968611.53004707),22.8898385760569,"Brewton Choo-choo Farmers' Market","308291","01053","Escambia",TRUE
"50","01085","Alabama","Lowndes",c(876178.11406342, 1052156.99929992),22.463345186038,"Butler County Farmers' Market","308292","01013","Butler",TRUE
"51","23015","Maine","Lincoln",c(2085042.57074194, 2633832.04743975),5.46565432018379,"Oxford Farmers' Market","310866","23015","Lincoln",FALSE
