Survey Year,ID,State,Zip,Region,RegionLg,LegalStat,LegalStat_Other_TEXT,LegalStatCat,Year,YearsinOperation,YearsinOp_Cat,YearsinOp_Cat_2,BusModel,Revenue,GrossSales,Expenses,OER,ProdCategory%Total,ProdCategory%_FreshFV,ProdCategory%_ProcessedFV,ProdCategory%_Meat,ProdCategory%_Fish,ProdCategory%_Dairy,ProdCategory%_Eggs,ProdCategory%_Grains,ProdCategory%_Baked,ProdCategory%_Coffee,ProdCategory%_ValueAdd,ProdCategory%_Alcohol,ProdCategory%_NonFood,ProdCategory%_Other1,ProdCategory%_Other1_TEXT,ProdCategory%_Other2,ProdCategory%_Other2_TEXT,ProdCategory%_Other3,ProdCategory%_Other3_TEXT,ProdCategoryMeat+Fish,ProdCategoryOtherCombined,Customer%Total,CustomerType%_Direct,CustomerType%_LgRetail,CustomerType%_SmRetail,CustomerType%_Restaurants,CustomerType%_Distributors,CustomerType%_Hubs,CustomerType%_Processors,CustomerType%_ECE,CustomerType%_K12,CustomerType%_College,CustomerType%_Hospitals,CustomerType%_AdultCare,CustomerType%_Pantries,CustomerType%_Other1,CustomerType%_Other1_TEXT,CustomerType%_Other2,CustomerType#_Other2_TEXT,CustType%_RetailTotal,CustType%_DistTotal,CustType%_InstTotal,CustType%_OtherTotal,SNAP,SNAPAmt,GrantDependence
2013,Nashville Grown,TN,37208,East South Central,South,Nonprofit, ,Nonprofit,2012.0,1.0,0 - 2 years,0 - 2 years,,15786.0,15786.0,16192.86,1.025773470163436,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,100.00063347269732,0.0,0.0,0.0,100.00063347269732,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0, ,0.0,0.0,0.0,0.0,,,Not at all dependent
2013,21 Acres Food Hub,WA,98072,Pacific,West,Nonprofit, ,Nonprofit,2012.0,1.0,0 - 2 years,0 - 2 years,,9193.0,9193.0,38671.0,4.206570216469053,100.0,93.4102392568299,0.0,5.893582652112193,0.0,0.43511130691119926,0.2610667841467196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,5.893582652112193,0.0,100.0005438920918,0.0,0.0,0.0,13.370499292940282,0.0,0,0.0,21.758947024910256,0.0,0.0,62.771674099858586,2.0994234743826823,0,0.0,,0.0, ,0.0,0.0,86.63004459915152,0.0,,,Highly dependent
2013,North Country Farmers co-op,NH,3576,New England,Northeast,Producer Cooperative, ,Cooperative,2013.0,0.0,0 - 2 years,0 - 2 years,,25000.0,25000.0,46290.0,1.8516,99.99999999999999,96.39999999999999,0.0,0.0,0.0,1.6,0.0,0.0,1.6,0.0,0.4,0.0,0.0,0.0,,0.0,,0.0,,0.0,2.0,100.00000000000001,0.0,0.0,4.0,92.80000000000001,0.0,0,0.0,0.0,2.8000000000000003,0.0,0.4,0.0,0,0.0,,0.0, ,4.0,0.0,3.2,0.0,,,Somewhat dependent
2013,Greenmarket Co.,NY,11101,Middle Atlantic,Northeast,Nonprofit, ,Nonprofit,2012.0,1.0,0 - 2 years,0 - 2 years,,620000.0,268500.0,414260.0,0.6681612903225806,100.0,98.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0, ,0.0, ,0.0,2.0,100.0,0.0,0.0,22.75344506517691,20.194785847299816,0.0,0,2.1217877094972066,0.0,0.0,0.0,0.0,13.559404096834266,0,0.0,,41.37057728119181, ,22.75344506517691,0.0,13.559404096834266,41.37057728119181,,,Highly dependent
2013,Field GOods,NY,12015,Middle Atlantic,Northeast,LLC, ,For-profit,2011.0,2.0,0 - 2 years,0 - 2 years,,250000.0,250000.0,,,100.0,90.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0, ,0.0, ,0.0, ,0.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,100.0,subscribers,0.0, ,0.0,0.0,0.0,100.0,,,Not at all dependent
2013,Chow Locally,AZ,85281,Mountain,West,LLC, ,For-profit,2011.0,2.0,0 - 2 years,0 - 2 years,,200000.0,193705.0,220655.0,1.103275,100.0,96.90250638858058,0.0,1.7036214862806844,0.0,0.0,1.032497870473142,0.10324978704731422,0.0,0.0,0.2581244676182855,0.0,0.0,0.0,,0.0,,0.0,,1.7036214862806844,0.3613742546655997,100.0,100.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0, ,0.0,0.0,0.0,0.0,,,Not at all dependent
2013,Market Day Foods,MT,59715,Mountain,West,S Corp, ,For-profit,2011.0,2.0,0 - 2 years,0 - 2 years,,235000.0,225000.0,241650.0,1.0282978723404255,100.0,75.0,0.0,8.5,0.0,3.5,3.5,1.0,0.5,1.5,3.0,,3.5,,"Plants (Seedlings, etc) (micael moved to non-food)",,CSA (micaela moved to produce),0.0, ,8.5,9.5,100.0,50.0,10.0,0.0,34.0,0.0,,0.0,0.0,5.0,0.0,1.0,,,0.0, ,0.0, ,10.0,0.0,6.0,0.0,,,Somewhat dependent
2013,Mad River Food Hub L3C,VT,5673,New England,Northeast,L3C, ,For-profit,2011.0,2.0,0 - 2 years,0 - 2 years,,146674.0,3206.0,146318.0,0.9975728486302957,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,0.0,,0.0,,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0,,,0.0, ,0.0, ,0.0,0.0,0.0,0.0,,,Not at all dependent
2013,ABUNDANCIA,WA,98072,Pacific,West,Nonprofit, ,Nonprofit,2011.0,2.0,0 - 2 years,0 - 2 years,,1500.0,45.0,1459.95,0.9733,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,,0.0, ,0.0,0.0,0.0,100.0,,,Somewhat dependent
2013,ACME Farms + Kitchen,WA,98225,Pacific,West,LLC, ,For-profit,2011.0,2.0,0 - 2 years,0 - 2 years,,650000.0,635000.0,,,100.0,25.0,5.0,20.0,10.0,12.0,0.0,4.0,12.0,1.0,10.0,,1.0,,fresh pasta (micaela moved to other processed),0.0, ,0.0, ,30.0,28.0,100.0,95.0,0.0,0.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0, ,0.0, ,0.0,0.0,0.0,0.0,,,Not at all dependent
